"","game_dates","white_player","white_elo","black_player","black_elo","time_control","opening_code","opening","notations","final_position","match_result","game_link"
"1","2023.10.02","BrownInTown94"," 932","frankkarpow"," 1012","60+1","ECO A40","Queens-Pawn-Opening-St-George-Defense-2.c4","1. d4  a6 2. c4  h6 3. Nc3  e6 4. e4  c6 5. Nf3  b5 6. Bf4  b4 7. Na4  c5 8. Nxc5  Bxc5 9. dxc5  Nc6 10. Bd6  Bb7 11. Bd3  a5 12. O-O  Nf6 13. e5  Nh7 14. Qc2  f5 15. exf6  Nxf6 16. Bg6# 1-0","r2qk2r/1b1p2p1/2nBpnBp/p1P5/1pP5/5N2/PPQ2PPP/R4RK1 b kq -","Termination BrownInTown94 won by checkmate","https://www.chess.com/game/live/89999315309"
"2","2023.10.02","BrownInTown94"," 925","gwatts15"," 994","60+1","ECO A40","Queens-Pawn-Opening-English-Defense-3.Nc3-Bb7-4.Nf3","1. d4  e6 2. c4  b6 3. Nc3  Bb7 4. Nf3  Nf6 5. Bg5  Be7 6. e3  d6 7. Bd3  Nbd7 8. O-O  h6 9. Bh4  g5 10. Bg3  Nh5 11. e4  Nxg3 12. fxg3  f6 13. e5  f5 14. exd6  cxd6 15. d5  exd5 16. cxd5  Ne5 17. Bxf5  O-O 18. Qc2  Rf7 19. Be6  Qc7 20. Bxf7+  Nxf7 21. Qg6+  Kf8 22. Nxg5  Bxg5 23. Rae1  Ba6 24. Rf5  Bd3 25. h4  Bxf5 26. Qxf5  Bd2 27. Rf1  Re8 0-1","4rk2/p1q2n2/1p1p3p/3P1Q2/7P/2N3P1/PP1b2P1/5RK1 w - -","Termination gwatts15 won on time","https://www.chess.com/game/live/90008310425"
"3","2023.10.03","BrownInTown94"," 917","sugarsaddy"," 928","60+1","ECO D35","Queens-Gambit-Declined-Queens-Knight-Variation-3...Nf6-3","1. d4  d5 2. c4  Nf6 3. Nc3  e6 4. Bg5  Be7 5. Nf3  Ne4 6. Bxe7  Qxe7 7. Nxe4  dxe4 8. Nd2  e5 9. Nxe4  exd4 10. Qxd4  Nc6 11. Qc5  Qxe4 12. e3  Bd7 13. Rd1  O-O-O 14. b4  Qe5 15. Qxe5  Nxe5 16. Be2  Ba4 17. Rxd8+  Rxd8 18. O-O  f5 19. f4  Nc6 20. Bf3  Nxb4 21. Rb1  Nxa2 22. Bxb7+  Kd7 0-1","3r4/pBpk2pp/8/5p2/b1P2P2/4P3/n5PP/1R4K1 w - -","Termination sugarsaddy won on time","https://www.chess.com/game/live/90082184679"
"4","2023.10.03","BrownInTown94"," 907","lerewe"," 841","60+1","ECO D02","Queens-Pawn-Opening-Zukertort-Variation-2...e6-3.c4","1. d4  d5 2. Nf3  e6 3. c4  Nf6 4. Nc3  dxc4 5. Bg5  Be7 6. e4  Nc6 7. Bxc4  Bd7 8. O-O  O-O 9. Qd3  h6 10. e5  Nh7 11. Bxe7  Qxe7 12. Bb3  g6 13. Bc2  Kh8 14. Nb5  Rac8 15. h4  Rg8 16. h5  Nf8 17. hxg6  Nxg6 18. Nh4  Nb4 19. Nxg6+  Rxg6 20. Qe4  Nxc2 21. Qxc2  Bxb5 22. a4  Bxf1 23. Rxf1  f6 24. Re1  fxe5 25. Rxe5  Rcg8 26. d5  Rxg2+ 27. Kf1  Rg1+ 28. Ke2  Qg7 29. Rxe6  Qg4+ 30. f3  Qg2+ 31. Kd3  Qxc2+ 32. Kxc2  R1g2+ 33. Kb3  R2g6 34. Re7  R6g7 35. Re6  h5 36. Rh6+  Rh7 37. Rxh7+  Kxh7 38. f4  h4 39. Kc4  h3 40. d6  cxd6 41. f5  Rf8 42. b4  Rxf5 43. b5  b6 44. a5  bxa5 45. b6  axb6 46. Kb3  h2 47. Ka4  h1=Q 48. Kb3  Qb1+ 49. Ka4  Rf4+ 50. Ka3  Qd3+ 51. Ka2  Rf2+ 52. Ka1  Qf1# 0-1","8/7k/1p1p4/p7/8/8/5r2/K4q2 w - -","Termination lerewe won by checkmate","https://www.chess.com/game/live/90082242887"
"5","2023.10.05","BrownInTown94"," 906","TheMrSausage"," 860","60+1","ECO A53","Old-Indian-Defense","1. d4  d6 2. c4  Nf6 3. Nc3  g6 4. e4  Bg7 5. Nf3  O-O 6. Bg5  Nbd7 7. h4  c5 8. d5  a6 9. Nd4  Rb8 10. Nb3  b5 11. cxb5  axb5 12. f3  b4 13. Ne2  Nb6 14. g4  h6 15. Bxf6  exf6 16. h5  g5 17. f4  Bxg4 18. Bh3  Bxh3 19. Rxh3  Qd7 20. fxg5  Qxh3 21. gxh6  Bxh6 22. Ng1  Qg3+ 23. Kf1  Be3 24. Qe2  Qxg1# 0-1","1r3rk1/5p2/1n1p1p2/2pP3P/1p2P3/1N2b3/PP2Q3/R4Kq1 w - -","Termination TheMrSausage won by checkmate","https://www.chess.com/game/live/90256821239"
"6","2023.10.05","BrownInTown94"," 916","RHughMyron"," 995","60+1","ECO A53","Old-Indian-Defense-Duz-Khotimirsky-Variation","1. d4  Nf6 2. c4  d6 3. Nc3  Nbd7 4. Bg5  h6 5. Bh4  g5 6. Bg3  Bg7 7. e3  O-O 8. Nf3  Nh5 9. Be2  Nxg3 10. hxg3  c5 11. Qd3  cxd4 12. exd4  Qb6 13. Nxg5  Bxd4 14. Qh7# 1-0","r1b2rk1/pp1npp1Q/1q1p3p/6N1/2Pb4/2N3P1/PP2BPP1/R3K2R b KQ -","Termination BrownInTown94 won by checkmate","https://www.chess.com/game/live/90265145607"
"7","2023.10.06","BrownInTown94"," 931","Path_B"," 894","60+1","ECO A40","Queens-Pawn-Opening-Horwitz-Defense-2.c4-c5","1. d4  e6 2. c4  c5 3. Nc3  cxd4 4. Qxd4  Nc6 5. Qd1  Nf6 6. Bg5  Be7 7. Nf3  h6 8. Bh4  O-O 9. e3  Qb6 10. b3  a6 11. Be2  d6 12. O-O  e5 13. Bxf6  Bxf6 14. Nd5  Bd8 15. Nxb6  Bxb6 16. Qxd6  Be6 17. Nxe5  Nxe5 18. Qxe5  Rad8 19. Rfd1  Rxd1+ 20. Rxd1  Ba7 21. Bf3  b5 22. Qc7  Bb8 23. Qb6  bxc4 24. bxc4  Rc8 25. Rc1  Bc7 26. Qxa6  Be5 27. Bd5  Bxd5 28. h3  Be6 29. c5  Bb2 30. Rc2 1-0","2r3k1/5pp1/Q3b2p/2P5/8/4P2P/PbR2PP1/6K1 b - -","Termination BrownInTown94 won on time","https://www.chess.com/game/live/90341933469"
"8","2023.10.09","BrownInTown94"," 903","amboho"," 956","60+1","ECO D20","Queens-Gambit-Accepted-3.Nc3-Nf6","1. d4  d5 2. c4  Nf6 3. Nc3  dxc4 4. Bg5  Nc6 5. Nf3  Bg4 6. e3  h6 7. Bxf6  exf6 8. Bxc4  Bb4 9. Qb3  O-O 10. O-O  a5 11. Nd2  a4 12. Qc2  h5 13. a3  Bd6 14. b4  Rb8 15. Ba2  Bf5 16. e4  Bg6 17. d5  Nd4 18. Qd3  Be5 19. Nf3  Nb3 20. Bxb3  axb3 21. Ne2  Bxa1 22. Rxa1  b2 23. Rb1  Ra8 24. Nd2  Re8 25. Ng3  h4 26. Ne2  Qd7 27. Rxb2  Qa4 28. Ra2  Qd1+ 0-1","r3r1k1/1pp2pp1/5pb1/3P4/1P2P2p/P2Q4/R2NNPPP/3q2K1 w - -","Termination amboho won on time","https://www.chess.com/game/live/90605385683"
"9","2023.10.09","BrownInTown94"," 921","TylkoMicek"," 935","60+1","ECO E00","Indian-Game-East-Indian-Seirawan-Attack","1. d4  Nf6 2. c4  e6 3. Bg5  Be7 4. Nc3  b6 5. Nf3  Bb7 6. e3  O-O 7. Bd3  d5 8. O-O  Nbd7 9. c5  bxc5 10. Bxf6  Nxf6 11. Ne5  Nd7 12. Bc2  cxd4 13. exd4  Bf6 14. Qd3  c5 15. Qxh7# 1-0","r2q1rk1/pb1n1ppQ/4pb2/2ppN3/3P4/2N5/PPB2PPP/R4RK1 b - -","Termination BrownInTown94 won by checkmate","https://www.chess.com/game/live/90610709753"
"10","2023.10.09","BrownInTown94"," 937","zimuzostanley"," 873","60+1","ECO A40","Modern-Defense-with-1-d4-2.c4-Bg7-3.Nf3-Nf6","1. d4  g6 2. c4  Bg7 3. Nf3  Nf6 4. Nc3  O-O 5. e4  b6 6. Be2  Bb7 7. O-O  Nxe4 8. Nxe4  Bxe4 9. d5  c6 10. Nd2  cxd5 11. cxd5  Bxd5 12. h4  Qc7 13. h5  Qb7 14. Nf3  g5 15. Qc2  h6 16. Bxg5  hxg5 17. Nxg5  Bxg2 18. Qh7# 1-0","rn3rk1/pq1pppbQ/1p6/6NP/8/8/PP2BPb1/R4RK1 b - -","Termination BrownInTown94 won by checkmate","https://www.chess.com/game/live/90616907875"
